trip_id,rider_usage_codes,count_code_0,count_code_2,count_code_3
10004003302515-JUNE23,['0' '2'],1,1,0
10004003302536-JUNE23,['0' '2'],1,1,0
10004003302557-JUNE23,['0' '2'],1,1,0
10004003312251-JUNE23,['2'],0,1,0
10004003312324-JUNE23,['2'],0,1,0
10004003312356-JUNE23,['2'],0,1,0
10004003312429-JUNE23,['2'],0,1,0
10004003312459-JUNE23,['2'],0,1,0
10004003312622-JUNE23,['2'],0,1,0
10004003312647-JUNE23,['2'],0,1,0
10004003312714-JUNE23,['2'],0,1,0
10004003312744-JUNE23,['2'],0,1,0
10004003312814-JUNE23,['2'],0,1,0
10004003422019-JUNE23,['0'],1,0,0
10004003422035-JUNE23,['0'],1,0,0
10004003422110-JUNE23,['0'],1,0,0
10004003422147-JUNE23,['0'],1,0,0
10004003422223-JUNE23,['0'],1,0,0
10004003422319-JUNE23,['0'],1,0,0
10004003422342-JUNE23,['0'],1,0,0
10004003422423-JUNE23,['0'],1,0,0
10004003422533-JUNE23,['0'],1,0,0
10004003422634-JUNE23,['0'],1,0,0
10004003430626-JUNE23,['0'],1,0,0
10004003430705-JUNE23,['0'],1,0,0
10004003430720-JUNE23,['0'],1,0,0
10004003430735-JUNE23,['0'],1,0,0
10004003430750-JUNE23,['0'],1,0,0
10004003430804-JUNE23,['0'],1,0,0
10004003430819-JUNE23,['0'],1,0,0
10004003430834-JUNE23,['0'],1,0,0
10004003430849-JUNE23,['0'],1,0,0
10004003430904-JUNE23,['0'],1,0,0
10004003430919-JUNE23,['0'],1,0,0
10004003430934-JUNE23,['0'],1,0,0
10004003430949-JUNE23,['0'],1,0,0
10004003431003-JUNE23,['0'],1,0,0
10004003431018-JUNE23,['0'],1,0,0
10004003431032-JUNE23,['0'],1,0,0
10004003431045-JUNE23,['0'],1,0,0
10004003431058-JUNE23,['0'],1,0,0
10004003431113-JUNE23,['0'],1,0,0
10004003431142-JUNE23,['0'],1,0,0
10004003431156-JUNE23,['0'],1,0,0
10004003431211-JUNE23,['0'],1,0,0
10004003431226-JUNE23,['0'],1,0,0
10004003431241-JUNE23,['0'],1,0,0
10004003431256-JUNE23,['0'],1,0,0
10004003431311-JUNE23,['0'],1,0,0
10004003431326-JUNE23,['0'],1,0,0
10004003431341-JUNE23,['0'],1,0,0
10004003431356-JUNE23,['0'],1,0,0
10004003431411-JUNE23,['0'],1,0,0
10004003431426-JUNE23,['0'],1,0,0
