route_id,direction_id,route_code,shape_id_counts,shape_ids_list,count_of_different_stop_ids,different_stop_ids,stop_names_list
108-13168,1,108,8,"1080405_JUNE23,1080417_JUNE23,1080418_JUNE23,1080419_JUNE23,1080420_JUNE23,1080421_JUNE23,1080422_JUNE23,1080423_JUNE23",38,"[16524, 12686, 12687, 16527, 12689, 12690, 16528, 12693, 14626, 14627, 16943, 8245, 11193, 11195, 14660, 2500, 140880, 140881, 15445, 8662, 15446, 15448, 15449, 15450, 11737, 15452, 15447, 15451, 12124, 12125, 9180, 11740, 11741, 11742, 9186, 9187, 12126, 4840]","Admiralty / Palawan, Centinela / Culver, Washington / Palawan, Admiralty / Bali, Centinela / Braddock, Centinela / Lucille, Centinela / Marina Fwy, Jefferson / Centinela, Jefferson / Mesmer, Mindanao / Marina, Mindanao / Alla, Mindanao / Glencoe, Mindanao / Lincoln, Jefferson / Inglewood, Jefferson / Margaret, Mindanao / Admiralty, Pacific / Driftwood, Pacific / Fleet, Pacific / Hurricane, Pacific / Lighthouse, Pacific / Topsail, Short / Centinela, Short / Kenyon, Slauson / Sepulveda, Via Marina / Admiralty, Via Marina / Bora Bora, Via Marina / Captains Row, Via Marina / Marquesas, Via Marina / Old Harbor, Via Marina / Pacific, Via Marina / Panay, Via Marina / Tahiti, Washington / Pacific, Washington / Via Dolce, Washington / Via Marina, Jefferson / Slauson, California Yacht Club, Admiralty / Marina City"
110-13168,0,110,4,"1100283_JUNE23,1100285_JUNE23,1100287_JUNE23,1100288_JUNE23",37,"[5509, 2701, 2703, 2704, 2705, 2706, 176153, 176155, 176156, 2590, 2591, 2592, 2593, 7335, 7336, 7337, 6315, 7339, 7340, 5045, 11194, 30012, 65300037, 140878, 1494, 3287, 1495, 1496, 1497, 1498, 14693, 615, 617, 618, 622, 623, 7541]","Centinela / Sherbourne, Centinela / Edgewood, Centinela / Green Valley, Centinela / Beach, Centinela / Inglewood, Hyde Park / Marlborough, Hyde Park / Gay, Hyde Park / Long, Hyde Park / Park, Hyde Park / Centinela, Hyde Park / West, Hyde Park / 8th, Hyde Park / Crenshaw, Hyde Park / Hyde Park, Jefferson / Beethoven, Jefferson / Westlawn, Jefferson / Campus Center, Jefferson / Mesmer, Jefferson / Slauson, Centinela / La Tijera, Centinela / La Brea, Jefferson / Beethoven, Southwest / 3rd, 62nd / Cimarron, 62nd / Gramercy, 62nd / Saint Andrews, 62nd / Van Ness, 62nd / Western, Centinela / Alvern, Jefferson / McConnell, Southwest / 8th, Culver City Transit Center, Jefferson / Centinela, Jefferson / Concert Park, Bristol / Hannum, Bristol / Green Valley, Waters Edge / Jefferson"
110-13168,1,110,4,"1100282_JUNE23,1100284_JUNE23,1100286_JUNE23,1100289_JUNE23",0,[],
111-13168,0,111,8,"1110398_JUNE23,1110401_JUNE23,1110402_JUNE23,1110403_JUNE23,1110406_JUNE23,1110428_JUNE23,1110429_JUNE23,1110430_JUNE23",22,"[1958, 1961, 1964, 1966, 1967, 1968, 1971, 1976, 1977, 1979, 1982, 30016, 1985, 1988, 1990, 1992, 1996, 6354, 6355, 6356, 6358, 17880]","Florence / Old River School, Florence / Woodruff, Florence / Birchdale, Florence / Brookshire, Florence / Casanes, Florence / Downey, Florence / Emil, Florence / Garfield, Florence / Haledon, Florence / Lakewood, Florence / Newville, Florence / Paramount, Florence / Rives, Florence / Scout, Studebaker / Florence, Florence / Wiley Burke, Studebaker / Cecilia, Studebaker / Dune, Studebaker / Firestone, Studebaker / Kenney, Studebaker / Imperial, Norwalk Station"
111-13168,1,111,10,"1110413_JUNE23,1110414_JUNE23,1110417_JUNE23,1110418_JUNE23,1110419_JUNE23,1110420_JUNE23,1110423_JUNE23,1110424_JUNE23,1110426_JUNE23,1110427_JUNE23",1,[1975],Florence Garfield Layover
115-13168,0,115,9,"1150520_JUNE23,1150521_JUNE23,1150536_JUNE23,1150537_JUNE23,1150538_JUNE23,1150539_JUNE23,1150540_JUNE23,1150541_JUNE23,1150542_JUNE23",22,"[7809, 1537, 7811, 7812, 7813, 7815, 7817, 7819, 7824, 7825, 7826, 7827, 1559, 1563, 1564, 3128, 3131, 3135, 3136, 7797, 10109, 2942]","Manchester / Harbor Transitway Station, Manchester / Hillcrest, Manchester / Market, Manchester / Tamarack, Manchester / Western, Manchester / Kareem, Manchester / Carlton, Manchester / Crenshaw, Manchester / Figueroa, Manchester / Denker, Manchester / Budlong, Manchester / Gramercy, Manchester / Harvard, Manchester / Hoover, Manchester / Normandie, Manchester / Van Ness, Manchester / Vermont, Manchester / 11th, Manchester / Briarwood West, Manchester / Prairie, Manchester / 5th, Manchester / Briarwood East"
115-13168,1,115,9,"1150438_JUNE23,1150439_JUNE23,1150442_JUNE23,1150443_JUNE23,1150444_JUNE23,1150445_JUNE23,1150530_JUNE23,1150533_JUNE23,1150535_JUNE23",9,"[30016, 14726, 10472, 7818, 10475, 10446, 10485, 10487, 12569]","Firestone / Target, Firestone / Stonewood Center, Firestone / Newville, Firestone / Pangborn, Firestone / Studebaker, Firestone / Woodruff, Studebaker / Borson, Studebaker / Imperial, Norwalk Station"
117-13168,0,117,3,"1170073_JUNE23,1170076_JUNE23,1170077_JUNE23",0,[],
117-13168,1,117,3,"1170070_JUNE23,1170071_JUNE23,1170072_JUNE23",17,"[2624, 3200, 3619, 17827, 11141, 4511, 32201, 11434, 142219, 11148, 32202, 971, 11157, 11159, 140765, 11294, 11167]","Gardendale / Brookshire, Imperial / Downey, Imperial / Erickson, Imperial / Smallwood, Rives / Imperial, Imperial / Amery, Imperial / Garfield, Imperial / Old River School, Imperial / Ruchti, Imperial / Wright, Lakewood Blvd Station, Rancho Los Amigos, Lakewood / Gardendale, Gardendale / Barlin, Gardendale / Downey, Rives / Imperial, Imperial / Paramount"
120-13168,0,120,3,"1200088_JUNE23,1200090_JUNE23,1200095_JUNE23",36,"[2944, 2945, 14723, 14724, 14725, 14342, 14726, 14727, 2948, 2952, 2954, 2947, 12565, 12567, 12569, 1974, 1986, 1987, 5964, 5966, 6479, 6480, 6481, 5967, 6357, 141014, 6486, 6489, 6493, 6498, 16611, 6504, 6505, 6507, 6764, 2943]","Florence / Gard, Florence / Pioneer, Florence / Ringwood, Leffingwell / Stamy, Leffingwell / Toerge, Leffingwell / Arroyo, Leffingwell / Kibbee, Leffingwell / La Mirada, Leffingwell / Scott, Leffingwell / Telegraph, Santa Gertrudes / Lambert, Santa Gertrudes / Leffingwell, Santa Gertrudes / Santa Fe, Florence / Studebaker, Telegraph / Santa Fe Springs, Telegraph / Carmenita, Telegraph / Ceres, Telegraph / Florence, Telegraph / Gunn, Telegraph / Painter, Telegraph / Laurel, Telegraph / Shoemaker, Telegraph / Telechron, Telegraph / Victoria, Telegraph / Valley View, Norwalk / Florence, Norwalk / Telegraph, Studebaker / Borson, Santa Gertrudes / Starbuck, Studebaker / Cecilia, Studebaker / Firestone, Studebaker / I-5 I-605 Off-Ramp, Studebaker / Imperial, Studebaker / Kenney, Whittier / Santa Gertrudes, Whittwood Center Layover"
