route_id,direction_id,route_code,shape_id_counts,shape_ids_list,count_of_different_stop_ids,different_stop_ids,stop_names_list
222-13168,1,222,2,"2220079_JUNE23,2220081_JUNE23",0,[],
224-13168,0,224,4,"2240270_JUNE23,2240273_JUNE23,2240275_JUNE23,2240277_JUNE23",20,"[2053, 4621, 4622, 4623, 4624, 4110, 4112, 16916, 5821, 5824, 450, 5827, 451, 5833, 11216, 5844, 5848, 2010, 2013, 14198]","Bledsoe / Foothill, Bledsoe / Gladstone, Foothill / Cobalt, Foothill / Dronfield, Foothill / Roxford, Olive View / Bledsoe, Olive View Medical Center, Roxford / Borden, Roxford / Bradley, Roxford / Glenoaks, Roxford / Herrick, San Fernando / Astoria, San Fernando / Cobalt, San Fernando / El Casco, San Fernando / Lakeside, San Fernando / Polk, San Fernando / Roxford, Olive View Medical Center, San Fernando / Bledsoe, 12301 San Fernando"
224-13168,1,224,3,"2240271_JUNE23,2240272_JUNE23,2240274_JUNE23",0,[],
230-13168,0,230,2,"2300083_JUNE23,2300089_JUNE23",1,[639],Ventura Pl / Ventura
230-13168,1,230,3,"2300087_JUNE23,2300090_JUNE23,2300091_JUNE23",3,"[2923, 2909, 639]","Ventura Pl / Ventura, Laurel Canyon / Moorpark, Laurel Canyon / Valleyheart"
232-13168,1,232,2,"2320094_JUNE23,2320095_JUNE23",1,[5569],6th / Locust
233-13168,0,233,6,"2330148_JUNE23,2330150_JUNE23,2330169_JUNE23,2330170_JUNE23,2330173_JUNE23,2330174_JUNE23",4,"[10345, 6546, 6547, 6548]","Terra Bella / Fenton, Terra Bella / Foothill, Terra Bella / Gladstone, Eldridge / Kagel Canyon"
233-13168,1,233,6,"2330156_JUNE23,2330157_JUNE23,2330160_JUNE23,2330167_JUNE23,2330171_JUNE23,2330172_JUNE23",9,"[15137, 10596, 4489, 14922, 14923, 10345, 10608, 15127, 15135]","Terra Bella / Eldridge, Eldridge / Kagel Canyon, Foothill / Pierce, Foothill / Terra Bella, Terra Bella / Fenton, Terra Bella / Prager, Van Nuys / Borden, Van Nuys / Dronfield, Van Nuys / Foothill"
234-13168,0,234,3,"2340073_JUNE23,2340074_JUNE23,2340075_JUNE23",4,"[6615, 6619, 6620, 30015]","Truman / Hubbard, Truman / Workman, Truman / San Fernando Mission, Sylmar Station"
234-13168,1,234,3,"2340076_JUNE23,2340077_JUNE23,2340078_JUNE23",4,"[14984, 14987, 30015, 14983]","Truman / Hubbard, Truman / Workman, Truman / San Fernando Mission, Sylmar Station"
236-13168,0,236,2,"2360135_JUNE23,2360137_JUNE23",7,"[352, 353, 322, 20131, 20132, 326, 339]","Balboa / Soccer Fields, Balboa / Burbank, Balboa / Moorpark, Balboa Blvd / Ventura Fwy, Balboa / Victory, Balboa / Addison, Balboa / Magnolia"
237-13168,0,237,2,"2370026_JUNE23,2370030_JUNE23",0,[],
237-13168,1,237,2,"2370027_JUNE23,2370031_JUNE23",0,[],
240-13168,0,240,3,"2400005_JUNE23,2400006_JUNE23,2400008_JUNE23",26,"[4480, 4481, 4483, 4484, 30018, 20436, 4471, 12778, 4460, 4461, 4463, 4464, 5745, 4465, 12915, 4467, 4469, 4468, 12919, 4466, 4473, 4474, 4475, 4477, 4478, 4479]","Reseda / Nordhoff, Reseda / Sherman Way, Reseda / Chase, Reseda / Erwin, Reseda / Hart, Reseda / Hatteras, Reseda / Ingomar, Reseda / Kittridge, Reseda / Lassen, Reseda / G-Line, Reseda / Plummer, Reseda / Prairie, Reseda / Rayen, Reseda / Saticoy, Reseda / Strathern, Reseda / Superior, Reseda / Valerio, Reseda / Vanowen, Reseda / Ventura Fwy, Reseda / Victory, Reseda / Roscoe, Reseda / Parthenia, Reseda / Devonshire, Reseda / Burbank, Reseda / Mayall, CSUN Transit Center"
240-13168,1,240,3,"2400002_JUNE23,2400003_JUNE23,2400007_JUNE23",1,[30018],CSUN Transit Center
244-13168,1,244,2,"2440002_JUNE23,2440007_JUNE23",4,"[152, 1016, 1018, 1043]","Chatsworth Station, Devonshire / Canoga, Devonshire / De Soto, Devonshire / Variel"
246-13168,0,246,2,"2460081_JUNE23,2460083_JUNE23",1,[141012],Pacific / 21st Layover
246-13168,1,246,2,"2460080_JUNE23,2460082_JUNE23",1,[141012],Pacific / 21st Layover
251-13168,0,251,7,"2510171_JUNE23,2510179_JUNE23,2510180_JUNE23,2510183_JUNE23,2510184_JUNE23,2510187_JUNE23,2510190_JUNE23",57,"[768, 770, 6279, 6280, 8338, 142098, 786, 6172, 6173, 6175, 32033, 6178, 7073, 20500011, 5558, 5559, 5560, 5562, 5565, 957, 5567, 5568, 960, 962, 5571, 963, 5573, 965, 5575, 10303, 1737, 1740, 1742, 1743, 1744, 1745, 1746, 958, 1748, 1749, 1750, 1751, 1752, 1753, 14555, 1754, 1757, 9313, 4208, 4212, 4214, 758, 4218, 4220, 765, 4222, 4223]","Colorado / Ellenwood, Colorado / Eagle Rock, Colorado / Broadway, Colorado / El Rio, Colorado / Sierra Villa, Cypress / Alice, Cypress / Arvia, Cypress / Elm, Cypress / Maceo, Cypress / Macon, Cypress / Pepper, Eagle Rock / York, Eagle Rock / El Paso, Eagle Rock / Merton, Eagle Rock / Moss, Eagle Rock / Avenue 45, Eagle Rock / Norwalk, Eagle Rock / Verdugo, Eagle Rock / Avenue 33, Eagle Rock / Avenue 34, Eagle Rock / Avenue 35, Eagle Rock / Avenue 36, Eagle Rock / Avenue 40, Eagle Rock / Avenue 41, Eagle Rock / Westdale, Eagle Rock / Yosemite, Pacific / Belgrave, Pacific / Florence, Pacific / Gage, Pacific / Randolph, Pacific / Saturn, Pacific / Slauson, Pacific / Zoe, Soto / 26th, Soto / Bandini, Soto / 46th, Soto / 54th, Soto / 7th, Soto / 8th, Soto / Olympic, Soto / Vernon, Soto / Fruitland, Soto / Leonis, Seville / Broadway, Seville / Grand, Seville / Live Oak, Seville / Santa Ana, Slauson / Seville, Soto / Slauson, Eagle Rock / Verdugo, Soto / Whittier, Colorado / Eagledale, Eagle Rock / Avenue 31, Palm & Seville Terminal, Soto / Washington, Cypress / Division, Florence / Seville"
251-13168,1,251,5,"2510163_JUNE23,2510176_JUNE23,2510181_JUNE23,2510185_JUNE23,2510186_JUNE23",1,[7515],Avenue 28 / Idell
256-13168,0,256,3,"2560087_JUNE23,2560112_JUNE23,2560113_JUNE23",0,[],
256-13168,1,256,2,"2560117_JUNE23,2560118_JUNE23",16,"[11008, 11009, 10401, 11004, 12010, 16878, 15920, 15921, 142448, 15923, 11993, 10993, 10999, 11001, 12028, 11006]","Avenue 57 / Marmion, Melrose / Colorado, Avenue 64 / La Loma, Avenue 64 / Burleigh, Avenue 64 / Church, Avenue 64 / Elder, Avenue 64 / Meridian, Avenue 64 / Crescent, Figueroa / Avenue 60, Figueroa / Avenue 57, Figueroa / York, Colorado / De Lacey, Colorado / Orange Grove, Colorado / Terrace, York / Avenue 64, Colorado / San Rafael"
258-13168,0,258,3,"2580051_JUNE23,2580056_JUNE23,2580058_JUNE23",0,[],
258-13168,1,258,3,"2580042_JUNE23,2580055_JUNE23,2580057_JUNE23",0,[],
260-13168,0,260,3,"2600298_JUNE23,2600299_JUNE23,2600300_JUNE23",18,"[1281, 4674, 164, 4677, 4678, 4679, 4680, 4681, 165, 167, 170, 172, 149, 16919, 16920, 16921, 157, 30014]","Artesia / Susana, Atlantic / 68th, Atlantic / Agnes, Atlantic / Arlington, Atlantic / Carlin, Atlantic / Cortland, Atlantic / Artesia, Artesia / Butler, Artesia / Santa Fe, Atlantic / Alondra, Atlantic / Compton, Atlantic / Myrrh, Atlantic / Rosecrans, Atlantic / San Vincente, Acacia / Walnut, Artesia / Acacia, Artesia / Long Beach, Artesia Station"
260-13168,1,260,3,"2600287_JUNE23,2600293_JUNE23,2600303_JUNE23",2,"[2714, 8767]","Josephine / Atlantic, Atlantic / Cortland"
28-13168,0,28,4,"280648_JUNE23,280649_JUNE23,280650_JUNE23,280651_JUNE23",0,[],
28-13168,1,28,5,"280630_JUNE23,280632_JUNE23,280634_JUNE23,280646_JUNE23,280647_JUNE23",0,[],
287-13168,0,287,2,"2870072_JUNE23,2870077_JUNE23",35,"[2176, 2177, 2180, 3852, 1805, 3854, 4627, 4628, 4632, 4633, 4634, 4636, 4637, 1055, 8223, 8225, 8226, 15013, 176166, 15015, 8234, 15019, 70500029, 70500030, 4293, 3279, 12758, 4438, 142046, 3296, 10989, 12910, 369, 16503, 6651]","Paramount / Montebello, Tyler / Mildred, Tyler / Elliott, Garvey / Lee, Garvey / River, Garvey / Muscatel, The Shops At Montebello Layover, The Shops At Montebello, Rosemead / Fern, Rosemead / Klingerman, Paramount / Market Place, Ramona / Lexington, Rush / Central, Rush / Chico, Rush / Merced, Rush / Rosemead, Rush / Potrero, Rush / Santa Anita, Tyler / Rush, Tyler / Dodson, Walnut Grove / Edison, Walnut Grove / Fern, Walnut Grove / Garvey, Walnut Grove / Rush, San Gabriel / Celito, Paramount / Arroyo, Ramona / Tyler, Tyler / Amador, Tyler / Sally Tanner, Tyler / Garvey, San Gabriel / Sierra Bonita, Garvey / Garvey Community Center, Rush / Walmart Driveway, San Gabriel / Hill, Rush / San Gabriel"
287-13168,1,287,2,"2870081_JUNE23,2870082_JUNE23",38,"[387, 11785, 11788, 9997, 4625, 2455, 13084, 13085, 1054, 13089, 13092, 13093, 13094, 176167, 13095, 13096, 15018, 12331, 176168, 176165, 12334, 4271, 12336, 4285, 3279, 10714, 10715, 12764, 142045, 4447, 3299, 12900, 16508, 6646, 6647, 16504, 16505, 6652]","San Gabriel / Sierra Bonita, Tyler / Mildred, San Gabriel / Celito, The Shops At Montebello Layover, The Shops At Montebello / Kaiser Permanente, Paramount / Arroyo, Paramount / Hill, Ramona / Santa Anita, Rush / Angelus, Tyler / Bodger, Tyler / Amador, Tyler / Garvey, Garvey / Rosemead, Garvey / Muscatel, Garvey / Rosemead Pl, The Shops At Montebello - Macys, The Shops At Montebello - JCPenney, Rosemead / Fern, Rosemead / Klingerman, Rosemead / Rush, Paramount / Market Place, Ramona / Lexington, Rush / Central, Rush / Chico, Rush / Merced, Rush / Potrero, San Gabriel / Potrero Grande, Rush / Santa Anita, Tyler / Rush, Rush / Walnut Grove, Tyler / Dodson, Walnut Grove / Fern, Walnut Grove / Garvey, Walnut Grove / Klingerman, Garvey / Garvey Community Center, Town Center / Paramount, Tyler / Elliott, Rush / Walmart Driveway"
30-13168,0,30,2,"300815_JUNE23,300817_JUNE23",0,[],
30-13168,1,30,2,"300816_JUNE23,300819_JUNE23",0,[],
33-13168,0,33,7,"330657_JUNE23,330658_JUNE23,330659_JUNE23,330660_JUNE23,330661_JUNE23,330662_JUNE23,330663_JUNE23",1,[3708],Division 13 Layover
33-13168,1,33,8,"330574_JUNE23,330579_JUNE23,330651_JUNE23,330652_JUNE23,330653_JUNE23,330654_JUNE23,330655_JUNE23,330656_JUNE23",2,"[3161, 8634]","Maple Lot, 5th / Los Angeles"
344-13168,0,344,2,"3440046_JUNE23,3440047_JUNE23",4,"[12752, 12757, 4261, 4262]","Palos Verdes / Barkentine, Palos Verdes / Seacove, Palos Verdes / Crestmont, Palos Verdes / Seahill"
35-13168,0,35,3,"350273_JUNE23,350275_JUNE23,350281_JUNE23",0,[],
35-13168,0,38,3,"350259_JUNE23,350275_JUNE23,350276_JUNE23",7,"[8593, 4818, 4819, 4756, 13974, 4766, 4799]","Broadway / Venice, Broadway / 12th, Broadway / 7th, Broadway / Olympic, Broadway / Pico, Jefferson Loop Layover, Spring / 7th"
35-13168,1,35,3,"350266_JUNE23,350274_JUNE23,350282_JUNE23",7,"[9761, 15761, 4818, 4819, 3161, 4766, 4799]","Maple Lot, Broadway / 12th, Broadway / 7th, Broadway / Olympic, Broadway / Pico, 7th / Main, 7th / Spring"
35-13168,1,38,4,"350282_JUNE23,350283_JUNE23,350284_JUNE23,350285_JUNE23",1,[4756],Broadway / Venice
4-13168,0,4,6,"40318_JUNE23,40319_JUNE23,40323_JUNE23,40324_JUNE23,40330_JUNE23,40331_JUNE23",1,[14915],Terminal 28 - West Lot
4-13168,1,4,9,"40342_JUNE23,40343_JUNE23,40344_JUNE23,40345_JUNE23,40346_JUNE23,40347_JUNE23,40348_JUNE23,40349_JUNE23,40350_JUNE23",1,[38],5th / Colorado
40-13168,0,40,7,"400936_JUNE23,400939_JUNE23,400940_JUNE23,400949_JUNE23,400950_JUNE23,400951_JUNE23,400952_JUNE23",13,"[8899, 2629, 7720, 5577, 7722, 2635, 2604, 7727, 13939, 30006, 312, 7547, 7551]","Imperial / Aviation, Hawthorne / Imperial, Imperial / Felton, Imperial / Inglewood, Century / Avion, Century / Airport, Century / International, Imperial / I-105 W Exit 2A, Imperial / Ramona, Imperial / La Cienega, Aviation / 104th, Sepulveda / Century, LAX City Bus Center"
40-13168,1,40,4,"400927_JUNE23,400946_JUNE23,400947_JUNE23,400948_JUNE23",21,"[11139, 10898, 10899, 10900, 10901, 10902, 10903, 10904, 10905, 10906, 10907, 10908, 10909, 10910, 10915, 10920, 10932, 10938, 10939, 10946, 30023]","Hawthorne / 118th, Hawthorne / 120th, Hawthorne / 132nd, Hawthorne / 135th, Hawthorne / 138th, Hawthorne / 147th, Hawthorne / 154th, Hawthorne / 162nd, Hawthorne / 166th, Hawthorne / 169th, Hawthorne / 171st, Hawthorne / 179th, Hawthorne / 182nd, Hawthorne / Artesia, Hawthorne / Broadway, Hawthorne / El Segundo, Hawthorne / Manhattan Beach, Hawthorne / Marine, Hawthorne / Rosecrans, Hawthorne / Imperial, Redondo Beach Transit Center"
45-13168,0,45,3,"450585_JUNE23,450595_JUNE23,450597_JUNE23",0,[],
45-13168,1,45,3,"450594_JUNE23,450596_JUNE23,450605_JUNE23",0,[],
460-13168,0,460,2,"4600199_JUNE23,4600200_JUNE23",0,[],
460-13168,1,460,2,"4600205_JUNE23,4600206_JUNE23",1,[3161],Maple Lot
487-13168,0,487,2,"4870117_JUNE23,4870119_JUNE23",9,"[5377, 5378, 15713, 15718, 4105, 2345, 11917, 13488, 12415]","Terminal 25, Olive / General Thaddeus Kosciuszko, 1st / Hill, Olive / 5th, Spring / 1st - City Hall, Aliso / Los Angeles, Flower / 5th, 6th / Flower, 6th / Grand"
487-13168,1,487,3,"4870118_JUNE23,4870121_JUNE23,4870125_JUNE23",1,[70],El Monte Busway Layover
487-13168,1,489,2,"4870123_JUNE23,4870124_JUNE23",2,"[2345, 13180]","Terminal 25, Beaudry / 4th"
51-13168,0,51,8,"510301_JUNE23,510315_JUNE23,510324_JUNE23,510325_JUNE23,510326_JUNE23,510342_JUNE23,510344_JUNE23,510345_JUNE23",1,[15741],7th / Broadway
51-13168,1,51,12,"510320_JUNE23,510321_JUNE23,510322_JUNE23,510327_JUNE23,510328_JUNE23,510332_JUNE23,510336_JUNE23,510337_JUNE23,510338_JUNE23,510343_JUNE23,510346_JUNE23,510347_JUNE23",14,"[5504, 9761, 9763, 8868, 5479, 5482, 13869, 5486, 5487, 5488, 9751, 5496, 5883, 15741]","San Pedro / 11th, San Pedro / 14th, San Pedro / 65th, San Pedro / 67th, San Pedro / 69th, San Pedro / 9th, San Pedro / Pico, San Pedro / 16th, Avalon / Florence, 7th / Maple, 7th / Main, 7th / San Pedro, San Pedro / 12th, 7th / Broadway"
53-13168,0,53,5,"530239_JUNE23,530240_JUNE23,530241_JUNE23,530245_JUNE23,530246_JUNE23",18,"[4896, 4897, 4900, 1703, 5417, 3437, 3438, 4879, 4847, 7345, 9200, 3440, 3442, 3441, 3444, 629, 633, 4892]","Central / 91 Fwy Westbound Off-Ramp, Central / Mahalo, Victoria / Tamcliff, Central / 139th, Central / Compton, Central / Rosecrans, Central / 131st, Central / Brazil, Central / Piru, Central / 123rd, Central / Alondra, Central / Greenleaf, Central / 156th, Central / Caldwell, Central / El Segundo, Central / 120th, 6th / Broadway, Central / Victoria"
53-13168,1,53,4,"530238_JUNE23,530242_JUNE23,530243_JUNE23,530244_JUNE23",18,"[13306, 1703, 13352, 9194, 13355, 140782, 5423, 4528, 140783, 13362, 631, 11929, 11930, 13339, 11932, 13341, 11934, 11935]","Central / Victoria, Victoria / Tamcliff, 119th / Willowbrook, Central / 120th, Central / Radbard, Central / 131st, Central / 139th, Central / El Segundo, Central / Rosecrans, Central / Piru, Central / 123rd, Central / Alondra, Central / 156th, Central / Greenleaf, Central / Caldwell, Central / Walnut, Central / 148th, Central / Compton"
55-13168,0,55,2,"550285_JUNE23,550290_JUNE23",1,[13974],Spring / 7th
55-13168,1,55,2,"550288_JUNE23,550289_JUNE23",0,[],
60-13168,0,60,3,"600160_JUNE23,600161_JUNE23,600173_JUNE23",1,[11494],Long Beach Bl Station Lo
60-13168,1,60,5,"600165_JUNE23,600174_JUNE23,600175_JUNE23,600178_JUNE23,600179_JUNE23",1,[11494],Long Beach Bl Station Lo
601-13168,0,601,2,"6010001_JUNE23,6010003_JUNE23",1,[3605],Burbank / Warner Ranch
602-13168,0,602,3,"6020007_JUNE23,6020015_JUNE23,6020016_JUNE23",2,"[2939, 9269]","Le Conte / Westwood, Church / 405 Fwy Off-Ramp"
602-13168,1,602,3,"6020004_JUNE23,6020006_JUNE23,6020011_JUNE23",33,"[6401, 4226, 4485, 6406, 1799, 6409, 6411, 6412, 6427, 6428, 16286, 16289, 14754, 70500003, 16295, 14888, 16297, 16298, 14761, 14766, 16303, 14768, 12724, 16316, 14799, 16349, 16365, 16366, 6387, 6391, 6392, 6394, 6399]","Temescal Canyon / Sunset, Pacific Coast Highway / Bel Air Bay Club, Paul Revere Junior High, Sunset / Livorno, Sunset / Palisades, Sunset / Paseo Miramar, Sunset / Salerno, Sunset / Marquez, Sunset / Bienveneda, Sunset / El Medio, Sunset / Las Casas, Sunset / Marquez, Sunset / Muskingum, Sunset / Northfield, Sunset / Pacific Coast Highway Layover, 16321 Pacific Coast Highway, Sunset / Evans, Sunset / Monument, Sunset / Via De La Paz, Sunset / Will Rogers State Park, Sunset / Pacific Coast Highway, Temescal Canyon / Bowdoin, Sunset / Chautauqua, Sunset / Amalfi, Sunset / Brooktree, Sunset / Capri, Sunset / Carey, Sunset / Drummond, Sunset / Minorca, Sunset / Napoli, Sunset / Swarthmore, Sunset / Temescal Canyon, Temescal Canyon / Pacific Coast Highway"
611-13168,0,611,3,"6110022_JUNE23,6110023_JUNE23,6110024_JUNE23",35,"[9607, 9608, 16649, 16650, 16651, 16652, 12681, 16654, 9611, 9612, 9610, 9609, 1690, 12703, 1697, 15267, 12711, 141097, 11451, 11452, 14653, 14654, 11455, 11453, 11454, 8255, 14656, 14663, 10188, 8783, 8784, 8678, 8680, 8681, 6262]","Vernon / Alameda, Vernon / Saint Charles, Slauson / Atlantic, Wilcox / Gage, Alamo / 60th, Alamo / Gage, Alamo / Randolph, Atlantic / 52nd, Atlantic / 55th, District / Cudahy, District / Corona, District / 50th, District / Gifford, District / Loma Vista, District / Maywood, Alamo / Slauson, Leonis / Alcoa, Leonis / Pacific, Leonis / Boyle, Leonis / Downey, Leonis / Soto, Pacific / RR-Xing, Pacific / 46th, Pacific / Santa Fe, Slauson / Heliotrope, Slauson / King, Slauson / Mayflower, Slauson / Woodlawn, Leonis / Produce Plaza, Wilcox / Brompton, Wilcox / Clara, Wilcox / Elizabeth, Wilcox / Florence, Wilcox / Live Oak, Wilcox / Santa Ana"
611-13168,1,611,3,"6110020_JUNE23,6110027_JUNE23,6110028_JUNE23",0,[],
62-13168,0,62,7,"620343_JUNE23,620346_JUNE23,620347_JUNE23,620348_JUNE23,620349_JUNE23,620350_JUNE23,620354_JUNE23",6,"[15688, 2345, 15690, 15694, 25, 13180]","226th / Norwalk, Terminal 25, Beaudry / 4th, 5th / Grand, 5th / Flower, 5th / Hill"
62-13168,0,62,6,"620343_JUNE23,620346_JUNE23,620347_JUNE23,620349_JUNE23,620350_JUNE23,620352_JUNE23",6,"[15688, 2345, 15690, 15694, 25, 13180]","226th / Norwalk, Terminal 25, Beaudry / 4th, 5th / Grand, 5th / Flower, 5th / Hill"
62-13168,1,62,3,"620342_JUNE23,620344_JUNE23,620345_JUNE23",1,[25],226th / Norwalk
62-13168,1,62,4,"620342_JUNE23,620344_JUNE23,620345_JUNE23,620351_JUNE23",1,[25],226th / Norwalk
66-13168,0,66,6,"660419_JUNE23,660420_JUNE23,660421_JUNE23,660422_JUNE23,660426_JUNE23,660427_JUNE23",12,"[1600, 1577, 20500009, 1579, 2157, 2159, 18005, 30010, 956, 1597, 1598, 139999]","6th / Oxford Terminal, Olympic / Southside, Olympic / Goodrich, Olympic / Garfield, Olympic / Gerhart, Olympic / Hendricks, Garfield / Ferguson, Flotilla / Garfield, Olympic / Saybrook, Montebello Metrolink Station, Western / Wilshire, Flotilla / Yates"
66-13168,1,66,5,"660417_JUNE23,660418_JUNE23,660423_JUNE23,660424_JUNE23,660425_JUNE23",1,[145000],Commerce Center
660-13168,0,660,2,"6600006_JUNE23,6600008_JUNE23",1,[501],Raymond / Del Mar
660-13168,1,660,2,"6600011_JUNE23,6600012_JUNE23",2,"[3490, 501]","Raymond / Del Mar, Raymond / Green"
662-13168,0,662,2,"6620007_JUNE23,6620009_JUNE23",44,"[12160, 10112, 10114, 12175, 12176, 12177, 12178, 1565, 1566, 1568, 142114, 9905, 9907, 142132, 9794, 11462, 11464, 11466, 11467, 3660, 7501, 3662, 3663, 3667, 3668, 3669, 3670, 3671, 3672, 3673, 3675, 3676, 3677, 3679, 15853, 5230, 2797, 5232, 5233, 2800, 16127, 760, 1275, 13695]","Lake / Colorado, Altadena / Marengo, Mariposa / El Molino, Mariposa / Santa Anita, Mariposa / Saint James, Lake / Boston, Lake / Washington, Lake / Belvidere, Lake / Calaveras, Lake / Claremont, Lake Station, Lake / Mendocino, Lake / Mountain, Lake / Orange Grove, Lake / Union, Lake / Villa, Lake / Walnut, Lake / Woodbury, Lake / Elizabeth, Lake / Morada, Lake / Rio Grande, Lake / Cordova, Lake / Del Mar, Lake / Green, Altadena / Glenrose, Altadena / Lake, Del Mar / El Molino, Del Mar / Hudson, Mariposa / Marengo, Mariposa / Santa Rosa, Lincoln / Altadena, Lincoln / Harriet, Lincoln / Mariposa, Lincoln / Woodbury, Lake / Mariposa, Lincoln / Crosby, Lincoln / Figueroa, Lincoln / Mountain View, Lincoln / Ventura, Del Mar / Los Robles, Altadena / Olive, Lincoln / Montana, Lake / Fontanet, Altadena / Fair Oaks"
70-13168,0,70,2,"700299_JUNE23,700302_JUNE23",0,[],
70-13168,1,70,2,"700300_JUNE23,700301_JUNE23",2,"[7256, 6535]","Terminal 28 - East Lot, 18th / Olive"
720-13168,0,720,3,"7201293_JUNE23,7201294_JUNE23,7201299_JUNE23",1,[16770],Veteran Federal Building
720-13168,1,720,6,"7201275_JUNE23,7201278_JUNE23,7201280_JUNE23,7201296_JUNE23,7201297_JUNE23,7201298_JUNE23",9,"[72000002, 16675, 38, 16682, 3179, 3565, 14360, 16763, 104702]","5th / Colorado, 4th / Arizona, Wilshire / Veteran, Santa Monica / 4th, Wilshire / 14th, Wilshire / 26th, Wilshire / Bonsall, Wilshire / Bundy, Wilshire / Barrington"
76-13168,0,76,2,"760195_JUNE23,760196_JUNE23",0,[],
76-13168,1,76,2,"760200_JUNE23,760201_JUNE23",2,"[7256, 6535]","Terminal 28 - East Lot, 18th / Olive"
78-13168,0,78,3,"780498_JUNE23,780528_JUNE23,780531_JUNE23",2,"[138, 9796]","Woodward / Garfield, Garfield / Main"
78-13168,1,78,5,"780522_JUNE23,780523_JUNE23,780527_JUNE23,780529_JUNE23,780530_JUNE23",2,"[7256, 6535]","Terminal 28 - East Lot, 18th / Olive"
81-13168,0,81,5,"810321_JUNE23,810322_JUNE23,810324_JUNE23,810325_JUNE23,810327_JUNE23",1,[15866],Figueroa / Avenue 26
81-13168,1,81,6,"810313_JUNE23,810319_JUNE23,810320_JUNE23,810323_JUNE23,810326_JUNE23,810328_JUNE23",0,[],
90-13168,0,90,2,"900359_JUNE23,900360_JUNE23",21,"[3611, 3612, 8091, 3871, 3616, 2080, 3873, 3877, 3879, 2345, 3882, 3885, 3886, 12353, 12102, 2641, 2773, 18018, 18019, 15864, 15613]","San Fernando / Future, Terminal 25, San Fernando / Arvia, Avenue 26 / Figueroa, Hill / Alpine, Hill / Ord, Hill / College, San Fernando / Division, San Fernando / Edward, San Fernando / Glendale Fwy, San Fernando / Hallett, San Fernando / Macon, San Fernando / Treadwell, San Fernando / Verdugo, Hill / Temple, Hill / 1st, San Fernando / Fletcher, 1st / Hope, Avenue 26 / Idell, San Fernando / Pepper, San Fernando / Loosmore"
90-13168,1,90,3,"900355_JUNE23,900356_JUNE23,900357_JUNE23",0,[],
901-13168,0,901,2,"9010055_JUNE23,9010059_JUNE23",4,"[15568, 15600, 15590, 15575]","Chatsworth Station, Nordhoff Station, Roscoe Station, Sherman Way Station"
901-13168,1,901,2,"9010054_JUNE23,9010057_JUNE23",5,"[15568, 15601, 15444, 15607, 15608]","Canoga Station, Chatsworth Station, Sherman Way Station, Roscoe Station, Nordhoff Station"
92-13168,0,92,6,"920224_JUNE23,920274_JUNE23,920275_JUNE23,920276_JUNE23,920277_JUNE23,920278_JUNE23",50,"[3328, 3585, 3586, 3584, 1544, 10761, 10766, 10784, 10785, 12068, 10790, 10792, 2217, 2218, 2216, 2224, 2229, 2230, 2231, 11063, 2233, 2234, 11062, 2236, 2238, 2239, 30015, 2241, 2242, 2243, 2244, 2246, 2250, 2251, 2252, 2253, 12623, 2258, 2259, 3580, 6366, 2528, 2529, 20341, 3577, 3578, 3579, 4348, 3582, 3583]","Magnolia / San Fernando, Glenoaks / Gain, Glenoaks / Helen, Glenoaks / La Tuna Canyon, Glenoaks / Arroyo, Glenoaks / Cabrini, Glenoaks / Cohasset, Glenoaks / Filmore, Glenoaks / Griswold, Glenoaks / Harding, Glenoaks / Roscoe South Jog, Glenoaks / Lanark, Glenoaks / Montague, Glenoaks / Brand, Glenoaks / Maclay, Glenoaks / Nettleton, Glenoaks / Orange Grove, Glenoaks / Osborne, Glenoaks / Peoria, Glenoaks / Pierce, Glenoaks / Roscoe North Jog, Glenoaks / Hollywood Way, Glenoaks / Van Nuys, Glenoaks / Vaughn, Hubbard / Glenoaks, Hubbard / Herrick, 1st / Orange Grove, Glenoaks / Eton, Glenoaks / Andover, Glenoaks / Bethany, Glenoaks / Cypress, Glenoaks / Fairmount, Glenoaks / Irving, Glenoaks / Buena Vista, Glenoaks / Keystone, Glenoaks / Parish, Glenoaks / Paxton, Glenoaks / Sunland, Glenoaks / Shadyspring, Glenoaks / Branford, Glenoaks / Pendleton, Glenoaks / Penrose, Glenoaks / Sheldon, Glenoaks / Truesdale, Hubbard / Frank Modugno, Hubbard / Bradley, Glenoaks / Magnolia, Glenoaks / Osborne Pl, 9585 Glenoaks, Sylmar Station"
92-13168,1,92,7,"920225_JUNE23,920299_JUNE23,920300_JUNE23,920301_JUNE23,920302_JUNE23,920303_JUNE23,920304_JUNE23",0,[],
94-13168,0,94,2,"940258_JUNE23,940259_JUNE23",0,[],
DSE-US,1, ,2,"DSE-US-US-CF,DSE-US-US-TD",2,"[63500001, 142043]","Alameda / College, Dodger Express Loading Zone #1 (Union Station)"
